n,Raf,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
1,10,62.5812,8.75255e-06,62.5812,66.427,1.64406,1.37255
2,20,59.8736,8.73856e-06,59.8736,61.1602,1.63433,1.37842
3,30,57.3405,8.726e-06,57.3405,56.5357,1.62661,1.38372
4,40,54.9725,8.71473e-06,54.9725,52.4717,1.62045,1.38846
5,50,52.7596,8.70461e-06,52.7596,48.8904,1.61551,1.39267
6,60,50.6911,8.69551e-06,50.6911,45.7225,1.61152,1.39642
7,70,48.7568,8.68732e-06,48.7568,42.9083,1.60826,1.39974
8,80,46.9465,8.67992e-06,46.9465,40.3969,1.6056,1.40271
9,90,45.2507,8.64212e-06,45.2507,38.1458,1.60339,1.40536
10,100,43.6607,8.6672e-06,43.6607,36.1191,1.60156,1.40774
11,110,42.16817,8.661711e-06,42.16817,34.28669,1.600022,1.409877
12,120,40.76544,8.656723e-06,40.76544,32.62338,1.598729,1.411812
13,130,39.44556,8.652223e-06,39.44556,31.1078,1.597635,1.413567
14,140,38.20211,8.648029e-06,38.20211,29.72189,1.596703,1.415165
15,150,37.02924,8.615142e-06,37.02924,28.45028,1.595907,1.416623
16,160,35.9216,8.640754e-06,35.92159,27.27987,1.595223,1.41796
17,170,34.8743,8.624355e-06,34.87429,26.19939,1.594634,1.419188
18,180,33.88288,8.634618e-06,33.88288,25.19914,1.594124,1.42032
19,190,32.94329,8.631908e-06,32.94328,24.27074,1.593681,1.421366
20,200,32.05179,8.629404e-06,32.05179,23.4069,1.593296,1.422335
21,210,31.205,8.633848e-06,31.205,22.60125,1.59296,1.423235
22,220,30.39981,8.624941e-06,30.39981,21.84824,1.592665,1.424073
23,230,29.63338,8.625985e-06,29.63338,21.14296,1.592407,1.424855
24,240,28.90311,8.621096e-06,28.90311,20.48111,1.59218,1.425586
25,250,28.2066,8.624732e-06,28.2066,19.85886,1.59198,1.426271
26,260,27.54166,8.617762e-06,27.54166,19.27282,1.591804,1.426915
27,270,26.90628,8.604355e-06,26.90628,18.71997,1.591649,1.427519
28,280,26.2986,8.610206e-06,26.2986,18.19761,1.591512,1.428089
29,290,25.71691,8.609722e-06,25.71691,17.70332,1.59139,1.428626
30,300,25.15964,8.612305e-06,25.15963,17.23494,1.591283,1.429134
